Month,AustralianPort,ForeignPort,Country,PaxIn,FreightIn,MailIn,PaxOut,FreightOut,MailOut,TotalPax,TotalFreight,TotalMail,Year,"<< This year is based on the month selected in cell E2 in sheet ""Totals"" - it is only a calendar year if the month in sheet ""Totals"" is set to December",,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Gold Coast,Osaka,Japan,"5,421",26.4,21.1,"4,772",26.8,0.0,"10,193",53.2,21.1,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Gold Coast,Tokyo,Japan,"5,354",8.9,0.0,"4,989",8.2,0.1,"10,343",17.0,0.1,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Gold Coast,Wellington,New Zealand,863,1.1,0.0,722,0.0,0.0,"1,585",1.1,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Auckland,New Zealand,"38,683","1,109.6",55.3,"35,072",836.3,48.2,"73,755","1,945.8",103.5,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Bangkok,Thailand,"19,988",467.4,26.3,"13,946","1,055.8",1.2,"33,934","1,523.2",27.4,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Beijing,China,"2,094",31.9,0.0,"2,462",66.1,0.0,"4,556",98.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Bombay,India,..,..,..,80,0.0,0.0,80,0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Chicago,USA,111,164.0,0.0,103,0.0,0.0,214,164.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Christchurch,New Zealand,"15,283",67.1,0.0,"14,517",50.5,0.0,"29,800",117.6,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Denpasar,Indonesia,"7,255",113.9,0.0,"5,266",74.6,0.1,"12,521",188.6,0.1,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Dubai,United Arab Emirates,"14,131",264.9,48.6,"13,201",549.0,0.0,"27,332",813.8,48.6,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Dunedin,New Zealand,720,0.0,0.0,641,0.0,0.0,"1,361",0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Frankfurt,Germany,..,1.1,0.0,..,..,..,..,1.1,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Guangzhou,China,"1,901",47.0,2.4,"1,547",5.1,0.0,"3,448",52.1,2.4,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Hanoi,Vietnam,534,0.0,0.0,632,12.3,0.0,"1,166",12.3,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Ho Chi Minh City,Vietnam,"4,932",55.7,0.0,"4,547",34.8,0.0,"9,479",90.5,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Hong Kong,Hong Kong (SAR),"26,798","1,066.8",97.0,"22,157","2,273.4",19.6,"48,955","3,340.2",116.6,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Honolulu,USA,..,..,..,76,0.6,0.0,76,0.6,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Melbourne,Kuala Lumpur,Malaysia,"20,265",724.0,6.1,"16,849",942.2,0.0,"37,114","1,666.2",6.1,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
