INTERNATIONAL SCHEDULED AIR TRANSPORT - Airline supplied data,,,,,,,,,,,,,,,,,,,,,,
"Country is determined by where ""same flight number"" services Originate or Terminate",,,,,,,,,,,,,,,,,,,,,,
"The true seat utilisation factors for airlines other than Australian Airlines, Qantas Airways, Emirates (for November 2011 onwards), China Airlines (for January 2014 onwards), Philippine Airlines (for December 2015 onwards), AirAsia X (for March 2016 onwards) and Singapore Airlines (for September 2016 onwards), that operate via Australia will most likely be higher than what is calculated using this data. See ""ReadMe"" tab for more information.",,,,,,,,,,,,,,,,,,,,,,
More detailed information on flights and seats by route and city pairs can be found at:,,,,,http://www.bitre.gov.au/publications/ongoing/international_airlines-operated_flights_seats.aspx,,,,,,,,,,,,,,,,,
MONTH,AIRLINE,COUNTRY,FLTS IN,PAX IN,SEATS IN,FLTS OUT,PAX OUT,SEATS OUT,FIN_Y,CAL_Y,,,,,,,,,,,,
Mar-91,Canadian Airlines International,Canada,14,"1,866","3,150",14,"2,435","3,150",1991,1991,,,,,,,,,,,,
Mar-91,Cathay Pacific Airways,Hong Kong,55,"15,224","22,598",56,"15,020","22,598",1991,1991,,,,,,,,,,,,
Mar-91,Continental Airlines,Guam,18,"3,699","5,112",18,"3,795","5,112",1991,1991,,,,,,,,,,,,
Mar-91,Continental Airlines,New Zealand,11,"2,515","4,326",11,"2,115","4,326",1991,1991,,,,,,,,,,,,
Mar-91,Continental Airlines,USA,70,"15,409","25,582",70,"18,417","25,582",1991,1991,,,,,,,,,,,,
Mar-91,Federal Express Corporation,USA,10,..,..,..,..,..,1991,1991,,,,,,,,,,,,
Mar-91,Garuda Indonesia,Indonesia,60,"7,262","15,723",60,"8,571","15,723",1991,1991,,,,,,,,,,,,
Mar-91,Hawaiian Airlines,American Samoa,5,495,925,5,720,925,1991,1991,,,,,,,,,,,,
Mar-91,Japan Airlines,Japan,50,"10,975","19,798",49,"12,650","19,556",1991,1991,,,,,,,,,,,,
Mar-91,KLM Royal Dutch Airlines,Netherlands,5,965,"2,140",5,"1,387","2,140",1991,1991,,,,,,,,,,,,
Mar-91,Korean Air,Korea,4,722,"1,580",4,723,"1,580",1991,1991,,,,,,,,,,,,
Mar-91,Lauda Air,Austria,9,541,"1,487",9,765,"1,487",1991,1991,,,,,,,,,,,,
Mar-91,Lufthansa German Airlines,Germany,26,"2,194","5,976",26,"2,569","5,976",1991,1991,,,,,,,,,,,,
Mar-91,Malaysia Airlines,Malaysia,45,"9,478","13,539",45,"11,999","13,484",1991,1991,,,,,,,,,,,,
Mar-91,Malaysia Airlines,New Zealand,9,513,"1,132",9,365,"1,415",1991,1991,,,,,,,,,,,,
Mar-91,Merpati Nusantara Airlines,Indonesia,9,280,720,9,571,720,1991,1991,,,,,,,,,,,,
Mar-91,Olympic Airways,Greece,9,"1,357","3,987",9,"2,740","3,987",1991,1991,,,,,,,,,,,,
Mar-91,Philippine Airlines,Philippines,22,"3,902","6,010",22,"4,517","6,010",1991,1991,,,,,,,,,,,,
Mar-91,Polynesian Airlines,Western Samoa,9,526,"1,332",8,682,"1,184",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,Argentina,..,101,250,..,87,250,1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,Fiji,..,"2,199","2,876",..,"2,567","3,202",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,Hong Kong,62,"12,743","17,983",63,"11,688","18,211",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,Indonesia,34,"6,250","10,172",34,"7,430","10,172",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,Italy,10,"1,032","3,130",9,"1,314","2,817",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,Japan,111,"16,740","31,398",114,"20,334","31,878",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,Malaysia,14,"1,308","3,069",14,"1,092","3,069",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,New Caledonia,10,603,"1,963",10,732,"1,963",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,New Zealand,200,"29,144","43,758",198,"28,574","43,345",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,Papua New Guinea,28,"2,226","4,388",29,"2,117","4,447",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,Philippines,9,"1,508","2,052",9,"1,287","2,052",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,Singapore,96,"13,007","26,134",96,"14,250","26,134",1991,1991,,,,,,,,,,,,
Mar-91,Qantas Airways,Solomon Islands,5,167,530,5,284,530,1991,1991,,,,,,,,,,,,
